Origin,Trans
Previous Grid,上一个网格
Shift Lyrics Right(_R),歌词整体右移一格(_R)
Help,帮助
Line,直线
Emotion,情感
Add VOCALOID:AI Track,添加 VOCALOID:AI 音轨
Select All Control Parameters(_P),控制参数全选(_P)
Note - Paste Special,音符 - 粘贴特殊内容
Convert Phonemes to Match Language,将音素转换为匹配语言
Overwrite style preset?,覆盖风格预置？
"Failed to perform voice change. Error ",报错:音源更换失败。
Buffer Size,缓冲区大小
- (Melisma),-（花唱）
Do you really want to delete this style preset? This action cannot be undone.,你真的想删除此音频预置吗？此操作不可撤销。
Insert Rest,插入休止
Invalid Name.,非法名称。
Cancel,取消
The following audio files cannot be found.,找不到以下音频文件。
Rest length:,休止长度:
Cut,剪切
Failed to delete tempo.,删除曲速控点失败。
Quantize,量化
The project data is optimized for the current version of VOCALOID Editor.,序列数据已为当前版本 VOCALOID 编辑器优化。
Grid - Triplet,网格 - 三连音
Undo,撤销
Supported Files|*.mid;*.midi;*.vsqx;*.vpr;*.wav|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5/VOCALOID6|*.vpr|Wave|*.wav,支持的文件|*.mid;*.midi;*.vsqx;*.vpr;*.wav|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5/VOCALOID6|*.vpr|波形|*.wav
Convert Phonemes to Match Language,将音素转换为匹配语言
Update,更新
Robot Voice,机械音
New Voice Banks,新音源
Check for Updates,检查更新
Please select a language,请选择一个语言
Quantize,量化
Track Count,音轨数量
Tag Name,标签名
Duplicate Track,复制轨道
Failed to divide VOCALOID Part.,分割 VOCALOID 乐段失败。
English,英语
Select All,全选
Can not resize part.,无法重设乐段大小。
Lyric and Phoneme,歌词与发声符号
Ended,授权已终止
Japanese,日语
Installation Complete.,安装完成。
Breath,呼吸
Delete Overlaps,删除重叠
Scissors,裁剪
Failed to add Audio track.,添加音频轨道失败。
Specific Phonetic Symbol,特定音标
▼,▼
https://www.vocaloid.com/en/vocaloid6/buy/,"https://www.vocaloid.com/en/compare/#lineup "
Check for Installation Status...,检查安装进度...
Don't Allow,不允许
Failed to edit phoneme timing.,编辑音素时值失败。
Delete Time,删除时间
Tempo and Time Signature...,导入曲速与拍号标志...
▲,▲
Failed to duplicate Panpot.,克隆相位控点失败。
Allow,允许
Korean,韩语
Failed to move Tempo.,移动曲速控点失败。
Leading Expression,前领音量
Add VOCALOID Track(_V),新增 VOCALOID 音轨(_V)
Tuning,音高
Failed to initialize Lua Manager.,初始化 Lua 管理器失败。
Original Voice Banks,原音源
Zoom Out Horizontally,横向缩小
Press key:,请输入要使用的快捷键:
English,英语
Voice,声音
Arrow,箭头
Measure Offset,小节步进偏移
Download New Content,下载新内容
Failed to set repeat playback section.,设定重复回放区间失败。
Save your changes in the current preset?,正在编辑预置，你想保存它吗？
Hz (415.3-466.2),Hz (415.3-466.2)
Select All Main Volumes(_M),主音量控点全选(_M)
Reverse mouse wheel direction,反转鼠标滚轮方向
"  (remaining {0} voices)"," (还有 {0} 个音源库)"
Please close all open VOCALOID windows before opening sequence file.,在打开此序列前请关闭所有已打开的 VOCALOID 窗口。
Failed to add Track.,添加音轨失败。
Pencil,铅笔
Letter Mode,输入歌词
Style Preset,预设样式
Parameter,参数
Phoneme Lock,因素锁
Set End Marker to Song Position,将结束标记设定至光标位置
Insert Rest(_I),插入休止符(_I)
New Voice Banks,新音源
Failed to move Audio part.,移动音频乐段失败。
Insert Rest,插入休止
Repeat,重复
